hashed_sequence_key,source,retrieval_label,heavy_length_bin,light_length_bin,total_length_bin,has_light,matching_bin,split,retrieval_score
4a21b4ac607b552ab42c26efa91570bbe1c383ae65c176ab9547a3dfb6e8c62d,oas_unknown_target_background,0,120,110,230,True,120|110|230|True,test,0.8196912265795856
e782fc62476165765f208eb56ca2917e2c86f3297855b3c3635c41ad41fc5237,project_record,1,120,105,230,True,120|105|230|True,test,0.9709119498761629
509cd4c719f969f3665582fda400e37ac4f4168c8116e8fe2a37da3874e01b54,oas_unknown_target_background,0,120,105,220,True,120|105|220|True,test,0.055038202695921676
b3cf31e381ba5be8251e361451e08642f561f84862529b53cd9b1c36b22eccaf,oas_unknown_target_background,0,120,105,230,True,120|105|230|True,test,0.022951276097974076
708f47ed0c44550fbd5420e49e8b1a4ec05ec057ab733792cac3eadcd1638a5d,project_record,1,120,110,230,True,120|110|230|True,test,0.8791192042082426
f17e1223069c85cbd524227ce98cf18dd315957d88ab62e5869f30fe46a19bc9,oas_unknown_target_background,0,120,110,230,True,120|110|230|True,test,0.12205016671438763
9b36bef14d0ae44712e133058ff67ef35a5449c1dc5c3466335eba834f3c6f45,project_record,1,120,110,230,True,120|110|230|True,test,0.7904465182897411
c26c9588092c31cd72f5054d1ece001ab150bb3928bf38fa8d1c0a30e6b36edf,project_record,1,120,105,220,True,120|105|220|True,test,0.9317210738949139
7f4506ac297eced344dc6a7bb982c8884235dd58f8f7f0ac3e6c2aa5b616abea,project_record,1,120,105,230,True,120|105|230|True,test,0.9249391515010141
f48cd36768683b59a2e7165713572c2179a90c7fc456bc471e3a435e7fe55cd7,project_record,1,115,110,230,True,115|110|230|True,test,0.9516880721614339
2e8b88469df34dbd44240363ebea50b827b556c63b9331d406393becd0e6101b,project_record,1,125,110,230,True,125|110|230|True,test,0.9528754812523124
2e19094f74fa6180ed7059e1a2918a600826a757a10b5ba015166bd0c0be054d,project_record,1,115,110,220,True,115|110|220|True,test,0.9482599990509308
200f99d9e590e31f5ca2cc7822b4e2fd29c06e5ce806bd42fc497da93bcee7cd,project_record,1,110,105,220,True,110|105|220|True,test,0.914907396346077
4a0acd2c70cade4646be413923147b1b125cdc4056f0db2c7361cec05607ec68,project_record,1,120,105,220,True,120|105|220|True,test,0.9384004673315327
