sequence_pair_hash,source_class,retrieval_label,source_file,split,project_retrieval_probability
12fad9bdc9907bb604f58208d96bb6784368a6715834ad6b090ee256d206267a,project_record,1,neutral_prepared_sequences.csv,test,0.9794967597049274
eb966a8b34474a497a326a6231a22e98c70c466e7965899df2b7827f6c175527,project_record,1,neutral_prepared_sequences.csv,test,0.9671471479704989
98b8631096b67db222e5a56b27a7742a77985ced29dc65ee7d40d3f4f0103449,project_record,1,neutral_prepared_sequences.csv,test,0.963464377925651
92a341fd6aa497e5742582c5e0d52dd178e051977837fa6c70e87b1a7a200738,project_record,1,neutral_prepared_sequences.csv,test,0.9552828720946129
72181aae3cdc35a1921d8aa48ba83a1767952fb58049161a8ed0a64115c59960,oas_unknown_background,0,SRR9179277_paired.csv.gz,test,0.027993377988081405
0e3e8dcde8412ebb72e7d651ead9a41742d84deb6f06d0133df73a9843d2512c,project_record,1,neutral_prepared_sequences.csv,test,0.9710597185834923
1bdf8e7716f9c305657502bd1ddc5645791d5372d818b5695c1ad3f1ead512df,project_record,1,neutral_prepared_sequences.csv,test,0.9468699504792144
9b764f37fa400c473b8a0cb2de87198519f3318de65747fba0274002448571eb,oas_unknown_background,0,SRR9179273_paired.csv.gz,test,0.012113833703004055
a44af179b903d0cc12ee351cf26ba1904fd512fd4f824e104bfc3fff0115c396,oas_unknown_background,0,SRR9179274_paired.csv.gz,test,0.018989764236919258
fa9e138f758a17e8f5cec3216c0f6b02f1476504a2bd7c89684383406fa678a0,oas_unknown_background,0,SRR9179273_paired.csv.gz,test,0.05948688267053903
ad48de25ce25941c2bf07f7179bfa81cba46074652358dcdaecad0b176161257,project_record,1,neutral_prepared_sequences.csv,test,0.9831441792467152
290f10f1f8885af48c5abcb45f1c52efac19fdfdfcd6af8c93e3d678196700c1,project_record,1,neutral_prepared_sequences.csv,test,0.9530644148578578
b71b396db44508b120768613f6123a15a5479e6854cf6cb0a3b9ec17a7639f60,project_record,1,neutral_prepared_sequences.csv,test,0.9646333255669888
e0db622c2ec95e203c36204bc3fa9806c50e1c5f97fe4ccde4430bf46ddb73d4,project_record,1,neutral_prepared_sequences.csv,test,0.9506758408678468
